Company,SourceType,URL,Priority,Enabled
Stripe,Career,https://stripe.com/jobs/search,1,TRUE
Stripe,LinkedIn,https://www.linkedin.com/company/stripe/jobs/,2,TRUE

Adyen,Career,https://careers.adyen.com/,1,TRUE
Adyen,LinkedIn,https://www.linkedin.com/company/adyen/jobs/,2,TRUE

Visa,Career,https://jobs.visa.com/,1,TRUE
Visa,LinkedIn,https://www.linkedin.com/company/visa/jobs/,2,TRUE

Mastercard,Career,https://careers.mastercard.com/,1,TRUE
Mastercard,LinkedIn,https://www.linkedin.com/company/mastercard/jobs/,2,TRUE

Thunes,Career,https://www.thunes.com/careers/,1,TRUE
Thunes,LinkedIn,https://www.linkedin.com/company/thunes/jobs/,2,TRUE

dLocal,Career,https://www.dlocal.com/careers/,1,TRUE
dLocal,LinkedIn,https://www.linkedin.com/company/dlocal/jobs/,2,TRUE

Payoneer,Career,https://www.payoneer.com/careers/,1,TRUE
Payoneer,LinkedIn,https://www.linkedin.com/company/payoneer/jobs/,2,TRUE

OSL,Career,https://osl.com/careers/,1,TRUE
OSL,LinkedIn,https://www.linkedin.com/company/osl-group/jobs/,2,TRUE

Tazapay,Career,https://www.tazapay.com/careers,1,TRUE
Tazapay,LinkedIn,https://www.linkedin.com/company/tazapay/jobs/,2,TRUE

Unlimit,Career,https://www.unlimit.com/careers/,1,TRUE
Unlimit,LinkedIn,https://www.linkedin.com/company/unlimit/jobs/,2,TRUE

PayPal,Career,https://careers.pypl.com/,1,TRUE
PayPal,LinkedIn,https://www.linkedin.com/company/paypal/jobs/,2,TRUE

VIVIX,Career,,1,FALSE
VIVIX,LinkedIn,,2,FALSE

MiniMax,Career,https://www.minimaxi.com/,1,TRUE
MiniMax,LinkedIn,https://www.linkedin.com/company/minimax-ai/jobs/,2,TRUE

OKX,Career,https://www.okx.com/careers,1,TRUE
OKX,LinkedIn,https://www.linkedin.com/company/okx/jobs/,2,TRUE

Gate,Career,https://www.gate.io/careers,1,TRUE
Gate,LinkedIn,https://www.linkedin.com/company/gateio/jobs/,2,TRUE

Circle,Career,https://www.circle.com/careers,1,TRUE
Circle,LinkedIn,https://www.linkedin.com/company/circle/jobs/,2,TRUE

Coinbase,Career,https://www.coinbase.com/careers,1,TRUE
Coinbase,LinkedIn,https://www.linkedin.com/company/coinbase/jobs/,2,TRUE

BVNK,Career,https://www.bvnk.com/careers,1,TRUE
BVNK,LinkedIn,https://www.linkedin.com/company/bvnk/jobs/,2,TRUE

Triple-A,Career,https://triple-a.io/careers/,1,TRUE
Triple-A,LinkedIn,https://www.linkedin.com/company/triple-a-technologies/jobs/,2,TRUE

BitPay,Career,https://bitpay.com/careers/,1,TRUE
BitPay,LinkedIn,https://www.linkedin.com/company/bitpay/jobs/,2,TRUE

Ripple,Career,https://ripple.com/careers/,1,TRUE
Ripple,LinkedIn,https://www.linkedin.com/company/ripple/jobs/,2,TRUE

Fireblocks,Career,https://www.fireblocks.com/careers/,1,TRUE
Fireblocks,LinkedIn,https://www.linkedin.com/company/fireblocks/jobs/,2,TRUE

Paxos,Career,https://www.paxos.com/careers/,1,TRUE
Paxos,LinkedIn,https://www.linkedin.com/company/paxos/jobs/,2,TRUE

Alchemy Pay,Career,https://alchemypay.org/careers,1,TRUE
Alchemy Pay,LinkedIn,https://www.linkedin.com/company/alchemy-pay/jobs/,2,TRUE

StraitsX,Career,https://www.straitsx.com/careers,1,TRUE
StraitsX,LinkedIn,https://www.linkedin.com/company/straitsx/jobs/,2,TRUE

Skyfire,Career,https://www.skyfire.xyz/careers,1,TRUE
Skyfire,LinkedIn,https://www.linkedin.com/company/skyfirexyz/jobs/,2,TRUE

Nevermined,Career,https://nevermined.io/careers,1,TRUE
Nevermined,LinkedIn,https://www.linkedin.com/company/nevermined/jobs/,2,TRUE

Mesh,Career,https://www.meshconnect.com/careers,1,TRUE
Mesh,LinkedIn,https://www.linkedin.com/company/meshconnect/jobs/,2,TRUE

Reap,Career,https://www.reap.global/careers,1,TRUE
Reap,LinkedIn,https://www.linkedin.com/company/reap-global/jobs/,2,TRUE
